videoRaw,conditionVideo,lineupRaw,conditionLineup,conditionSameDiff,condition,lineup 1,lineup 2,lineup 3,lineup 4,lineup 5,lineup 6,lineup 7,lineup 8,lineup 9,decisionRaw,targetPresentRaw,conditionTargetPresent,participantTargetPresent,participantSelection,accuracy,confidence,age,sex,ethnicity,techRaw,techPhotos,ANAGRAM1_1,ANAGRAM1_3,ANAGRAM1_4,ANAGRAM1_5,ANAGRAM1_6,ANAGRAM1_7,ANAGRAM1_8,ANAGRAM1_9,ANAGRAM1_10,ANAGRAM1_11,ANAGRAM1_12,ANAGRAM1_13,ANAGRAM1_14,ANAGRAM1_15,ANAGRAM1_17,ANAGRAM1_18,ANAGRAM1_19,ANAGRAM1_20,ANAGRAM1_21,ANAGRAM1_16,technical,keep
FRONTALVIDEO,1,Right TA,2,2,2,5,8,3,1,7,6,4,2,9,I do not believe the criminal was present,Target Absent,0,0,3,1,80,22,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",Video buffering,No,Cat,Hips,Fire,Orange,Kale,,,Forest,,Red,Rhythm,Star,Complex,Doctor,,,,Shore,Hello,Happy,YES,0
RIGHTVIDEO,2,Right TP,2,1,4,6,8,1,7,2,5,3,4,perp,I do not believe the criminal was present,Target Present,1,0,3,0,80,22,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,orange,kale,burning,memory,forest,paler,red,,,,,,,,,,,,1
FRONTALVIDEO,1,Front and Right TA,3,3,3,9,2,4,7,5,1,3,8,6,I do not believe the criminal was present,Target Absent,0,0,3,1,90,22,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",No,"Could not see face of number 1, only the top of their head ",Cat,Ship,Fire,Orange,Leak,Burning,,Forest,Plane,Red,Rhythm,Star,,Doctor,Easy,,,,,,YES,0
RIGHTVIDEO,2,Front and Right TP,3,3,6,8,6,4,5,3,1,perp,2,7,7,Target Present,1,1,1,1,80,22,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,No,CAT,SHIP,FIRE,,LEAK,,,,,RED,,STAR,,,EASY,,,,HELLO,HAP,,1
RIGHTVIDEO,2,Front TA,1,2,5,3,4,6,1,5,2,8,9,7,I do not believe the criminal was present,Target Absent,0,0,3,1,50,60,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",No,No,Cat,Ship,Fire,,Kale,,,,,Red,,Rats,,,Easy,,,Horse,Hello,Happy,,1
RIGHTVIDEO,2,Front TP,1,2,5,1,2,7,4,8,5,6,3,perp,9,Target Present,1,1,1,1,90,21,Male,Other,no,No,cat,hips,fire,go near,leak,,,forest,,red,,rats,complex,,,parrot,grenade,shore,hello,happy,,1
RIGHTVIDEO,2,Front and Right TP,3,3,6,4,8,perp,2,5,3,6,1,7,1,Target Present,1,1,2,0,80,65,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,orange,kale,,,,,red,,,,,,,gran,shore,hello,happy,,1
RIGHTVIDEO,2,Front TA,1,2,5,4,6,1,5,8,7,2,9,3,7,Target Absent,0,1,2,0,100,23,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,,kale,,,,,red,,,,,saye,,,,,,,1
FRONTALVIDEO,1,Right TP,2,2,2,5,perp,7,3,8,1,2,4,6,2,Target Present,1,1,1,1,80,34,Male,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lanken)",no,none,ACT,SHIP,FIRE,ORANGE,KALE,,,,PLANE,RED,,,,,,,,,,,,1
FRONTALVIDEO,1,Front and Right TP,3,3,3,5,4,3,perp,7,1,8,2,6,4,Target Present,1,1,1,1,90,47,Female,Do not wish to answer,no issues at all ,no issues at all ,cat,ship,frie,orange,leak,,memory,softer,,red,,star,,doctor,ayes,,,heros,hello,happy,,1
